protein_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Q2M2I8,-6.323609,-10.338383,5.0263166,4.4243755,-1.7280283,-6.931613,12.366219,1.0330328,-4.704717,0.17664546,5.275401,0.25926653,2.2040293,-2.7616062,-1.1361455,-3.2731853,-1.6542028,4.089702,6.227403,2.8003445,-0.04584581,8.503738,9.9066105,-5.829586,2.3773208,-0.074531004,-1.2275904,3.8540428,1.9703641,-5.1173964,-4.712478,-3.4356604
Q59FK4,-5.9699535,-9.408806,5.918146,6.3548174,-1.9494236,-7.52335,10.567246,1.1456743,-1.9810282,1.6670227,4.8669386,0.4092047,0.9320542,-1.2230071,0.31118292,-4.260369,-1.7080836,4.4201746,4.6218157,0.43904376,3.9051852,6.6797376,10.671424,-2.4282663,3.1031873,-2.2841341,-2.6928558,3.5623338,1.1775103,-7.45391,-8.338745,-4.4481
A0A2K5TT62,-6.8128195,-7.9157677,5.2041206,4.098371,-0.8021877,-7.756585,11.774771,1.4547385,-3.5529904,1.6384463,4.659583,1.1787633,1.943024,0.094914764,-0.17962694,-3.0369692,-3.0403395,4.476234,5.80194,0.4015559,2.0005305,7.290998,10.705405,-5.2701883,3.583908,-1.568639,-4.019836,3.9313905,1.1943127,-7.090317,-6.011526,-4.9267817
Q04771,-5.8934298,-10.192886,4.891923,6.9264984,-2.4028184,-5.9713154,11.541166,0.60636157,-1.7660353,2.430886,5.850886,0.23867314,3.3821375,-2.7245333,-1.5202199,-4.507772,-0.3868276,4.7763643,4.3630075,2.7836816,3.8633084,8.184173,10.243566,-4.3646317,0.85899806,-1.2830703,-1.7429947,3.3646789,1.2628148,-5.2767487,-6.872451,-2.8546078
P36896,-3.1681972,-10.075128,6.5143623,7.0643497,-0.9678092,-6.3920546,9.920197,1.0784968,-3.326635,1.3554997,4.2247553,-2.022355,2.6754057,-1.1843911,-1.4877498,-1.9932915,-2.060972,4.826346,2.5659037,2.6669803,3.9074292,9.143329,10.812185,-4.1544666,2.2049935,-0.6168457,-2.9875104,4.4823465,-1.645314,-5.62645,-7.3916473,-5.825217
P27037,-5.500097,-10.413803,7.438207,7.5652514,-2.1270661,-6.7480583,10.549162,0.25182378,-3.795703,0.75731015,2.5228813,-0.1949392,1.5566099,-1.9790906,1.7600461,0.37279996,-1.8631693,1.5689217,3.042697,3.8394456,4.2475758,9.782353,8.598109,-5.4305553,2.3693342,-0.47129402,-4.241707,3.585619,-2.8436806,-5.918515,-4.827084,-6.142499
Q13705,-6.630496,-9.762157,4.5007315,6.208008,-0.3190803,-7.5185523,11.287803,-0.9441894,-2.7468061,2.0456762,3.7454424,-0.26093432,2.027775,-0.80978477,-0.38854724,-2.9743671,-2.1882708,4.0810227,4.770348,0.5140019,2.3639975,7.021363,11.398625,-3.9722142,3.5539727,-2.6137793,-3.3245673,3.8857229,0.5073878,-6.592783,-7.0886188,-4.9807973
P37023,-4.3782725,-9.159325,7.073197,7.6747794,-2.8111732,-5.8895464,12.406907,1.2375197,-3.8234806,-0.47696576,3.917658,-1.2805223,1.0605441,-0.24342252,1.5504247,-2.2633312,-0.9868689,2.9734364,4.081066,4.3338466,3.5225246,7.789338,9.848983,-4.592569,1.7747723,-1.4106967,-1.4719429,3.2528195,-1.6367862,-7.486589,-6.507079,-4.8788266
Q8NI60,-5.728462,-10.44003,5.4016943,5.744091,-1.8756628,-6.4734693,12.062437,1.9159445,-3.538792,1.2546225,5.6483393,-0.010744315,1.5951064,-2.5784595,-0.23986895,-3.2177222,-0.97204036,3.8329663,4.769707,4.494117,2.7608442,9.866287,8.883516,-4.489375,2.015866,-0.96431494,-2.0293446,3.0016017,1.5340574,-5.367717,-5.177203,-4.390701
Q96D53,-4.832936,-11.3052635,4.0479,5.768679,-1.4149518,-6.5213437,11.266719,0.28554857,-4.3849077,2.2686014,5.0611997,0.35668346,2.6002674,-1.1380882,-1.9143964,-2.8025444,-1.5054469,4.849352,3.990769,2.3702917,4.5486207,8.780515,9.098534,-4.965579,1.3621284,-1.2834294,-2.3373837,3.4175322,-0.12011906,-5.3554626,-7.7739015,-4.4319515
P31749,-5.292385,-9.561107,3.6061704,6.003657,0.55480844,-7.136981,11.730639,1.5370978,-5.31089,0.9628241,5.4188075,-1.0883112,0.8911263,1.4593807,0.23948164,1.1154515,-1.5345483,2.1230154,2.8868244,1.9802439,3.0190852,7.3114285,11.039921,-5.8007593,3.8259213,-0.70063865,-4.720281,4.7153444,-2.6730635,-6.6966577,-5.4512086,-5.596282
P31751,-3.6783116,-11.463226,3.6329067,6.1365714,-0.19289488,-6.230112,11.653948,1.0292852,-6.2769375,0.082399614,5.3390574,-1.0246745,1.3697591,-0.57660955,0.050450765,-1.5517057,-0.810148,4.389811,3.6427805,5.920947,2.671629,7.742081,9.84154,-4.6821413,1.8389025,-0.47062373,-2.2046893,3.548773,-0.6866145,-6.4245453,-5.9587135,-5.6133456
Q9Y243,-5.5639243,-9.36801,5.6463394,6.011043,-3.0342736,-6.1229916,11.563351,3.2009819,-3.3615248,0.7026504,7.236332,0.22073856,2.03994,-1.3569924,-0.7889777,-3.4859998,-1.2695886,4.3560534,3.7431986,2.9550436,3.3383014,8.137943,10.419315,-5.0981755,1.994608,0.7043026,-2.1948633,3.2012146,0.2246814,-6.331107,-6.1586695,-3.4819767
