drug_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
CHEMBL1087421,-0.0074850116,0.12647873,1.614671,-0.63289416,0.5372564,-2.3246593,-1.1397619,1.1173006,1.0193008,0.636904,2.931629,-0.44502917,0.8854954,-1.8882374,-0.976105,-1.3832533,-1.0563333,1.0621345,-1.3576821,0.23591849,1.7232965,0.79851633,1.5517349,-0.14517625,-1.1481673,1.4193872,-1.02663,1.1682494,0.39843026,-0.1643133,-2.818332,0.30010596,-1.3835905,0.88825405,-0.2485129,0.74884623,2.9404552,2.1079614,3.9031153,-0.13254778,-0.28009838,1.0625575,-0.6800601,-1.1237099,0.42107868,1.6799371,1.3253309,-1.0795873,-0.21242708,0.25721657,-0.067074224,0.57323635,0.76397574,1.6097592,2.1162567,0.7009795,1.6921276,-0.80435795,-1.0847931,-0.3672676,1.1547703,-1.4902387,1.0116605,-0.4042402,2.1562064,-0.4833062,1.5054362,0.8413757,0.38175762,-0.61842227,-0.033221334,0.037932888,-0.72991204,-0.4319315,-0.87647814,-1.1178706,0.7792717,0.89021623,0.1171592,2.2720165,-0.49283177,-0.7395754,0.12647729,1.8435452,0.27336505,1.5241684,2.0943747,-0.63707703,0.82006514,1.2911521,-0.49983963,-0.600369,-1.2102157,-0.02411775,1.2070807,-1.150995,-3.3640983,-3.0302768,0.47794625,-0.56300426,-3.715362,-0.11030157,1.530631,0.90449065,-0.5393517,-1.0732849,-0.11662898,-2.8411925,-0.4698764,-1.1364821,-0.56285095,-0.57767826,0.17181368,0.38256434,-0.24195582,0.24244027,-1.2283378,2.087471,0.49901074,0.357229,-1.3951509,-0.57183564,0.5625052,0.100310214,-0.7601993,-1.6814572,-0.41014025,0.5822802
CHEMBL1088633,-1.5355717,1.0231907,1.9385213,0.28494814,-2.35511,-3.4126904,0.49947664,1.505222,0.45685074,0.62426907,4.5264893,1.4205891,1.1868064,-2.1181076,-0.54084426,-1.4492399,0.010680722,1.925299,-0.96946377,-0.99856424,-0.0563469,1.7119288,1.1616212,-0.32807788,0.5789969,1.0965245,-0.78306824,1.1219621,0.76571804,-1.1264853,-3.2081559,0.9616792,-0.58355844,-1.4408201,-0.5743259,1.2437112,3.6308591,1.1403419,2.8810277,-1.6382407,-0.2399503,2.2732465,-1.1287827,-1.5305775,2.007376,1.4827471,-2.2578964,-0.38029242,1.0647655,2.3414967,0.8634236,1.7898878,0.45405984,0.54352665,1.507672,0.42612588,0.13307169,-1.002624,0.36278534,1.0721711,0.43675914,-0.7830018,-0.9792128,0.085392125,0.5874302,-0.1689272,0.8089467,1.2645758,0.1277901,-0.8254006,0.042406633,0.60376084,-0.047492698,-1.571961,0.010371748,0.029674593,1.2338779,1.5922968,0.47579575,1.6738529,-1.1781771,-0.06001942,0.5194482,2.0607135,-0.480433,0.3405968,2.5373242,-0.80621004,1.0501176,1.4838905,-1.6740911,-0.25247654,-0.6309639,-0.02126532,0.7249252,0.47493613,-1.7183642,-2.3926203,2.142362,0.028302375,-3.8114316,0.88633907,2.0402648,1.1840018,0.578688,-0.75000024,0.91053283,-1.2354871,-1.1289579,-0.83015686,1.2432387,0.4098397,-0.9185314,1.0731713,-0.15930234,-0.4795432,0.09127192,1.0724049,-0.28070208,1.1960791,-0.37248453,-0.95011574,1.3810843,-2.145029,-0.36158994,-1.6435165,-0.46622092,-0.69845396
CHEMBL1090360,1.6012925,2.9313552,2.5265484,0.5876156,-0.02760727,11.75721,-2.316178,-5.098506,-3.436084,4.8952355,-1.197476,3.9708447,2.0217254,1.5494485,-3.2966719,-1.4412763,-2.2972486,-4.938095,-7.969913,0.20991024,-8.92434,-3.104424,7.409721,5.266765,-4.7889724,3.3156285,9.072726,8.96342,-9.042334,-3.9181862,-0.20970497,-5.484866,-1.0974059,-2.8854105,-4.2132015,-7.218735,-5.312426,-4.2487493,-3.0540485,1.9899495,-2.4534936,-6.8610005,-5.545183,-2.8649561,1.7926526,0.56937987,8.479654,0.98480636,-0.15464452,-2.0845225,-2.3850439,-1.7739918,-0.27675933,-3.5523028,-5.357561,-2.5268245,5.335964,-3.5120804,-1.1826513,3.3439257,1.3739413,3.449022,-0.12497625,4.7620554,0.16301173,-3.0622585,-6.6292787,-0.80168927,-0.7758155,-2.0064087,9.805343,7.5900064,4.6457224,-1.6279911,4.8497167,-1.3916321,0.24565591,-2.883426,3.008473,-1.1232164,4.808336,0.22268206,2.4464862,-0.94913787,-8.841476,6.532322,-7.617477,1.194188,1.7299088,-5.382297,5.067534,2.6210933,10.159143,5.0139565,-8.098344,3.6023026,-2.6849554,-5.402458,3.3655128,-0.2910586,2.7020602,-3.5115106,1.2188951,7.2839093,-7.6228323,-3.3878863,1.9491653,0.8937671,-0.4203583,3.5102315,-7.652446,-3.1774402,5.061539,3.6215854,2.9696732,0.9464433,1.9233388,7.0868263,-0.14631434,-3.8857145,2.4599357,-1.3265109,0.34913713,7.3607235,-1.9373777,-2.3178446,-3.0943534,-5.7390113
CHEMBL1688215,0.68572193,-0.958846,0.5618033,0.31705397,1.2803996,-1.3178978,-0.9093808,1.3822165,1.5120306,0.808681,1.6613986,-0.9186209,0.8692507,-1.6189963,-0.98276633,-1.1447492,-0.19474109,0.614437,-1.4208707,0.40866822,0.9783449,-0.2999117,0.4945106,-0.06181263,-1.1628184,0.22673926,-1.2096477,0.2529934,0.83291537,-0.036999214,-1.235852,1.0303679,-0.79523844,0.9450011,-0.17739445,0.6080682,1.5564207,0.16937211,2.437332,0.69237673,0.14412022,0.885196,0.039806377,-1.0699388,-0.5270971,-0.28604576,0.6828812,-0.6464201,-0.18660106,0.06318495,1.0538183,-0.71656466,0.64841866,0.5806614,1.415307,0.6528586,1.3987848,-1.3380812,-1.0364199,0.2671014,0.98236364,-0.7111645,0.42571342,0.81649506,1.2172258,-0.95901114,1.9899259,1.0443854,0.7866906,0.16025108,-0.08939654,0.9700432,-0.87689996,-0.41439557,-0.05044987,-1.7510908,1.4295899,0.8219867,0.21370533,2.2786217,-0.8443922,-1.0217699,0.52797556,0.24941808,0.6797756,1.2500969,1.6545943,0.674474,0.7128018,1.8363923,0.9929562,-0.95550925,-1.7683207,-0.5670385,1.3533003,-1.4889793,-2.579043,-3.6214378,0.2104207,0.03296483,-1.1950634,0.09888468,-0.03446868,-0.5585885,0.4279944,-0.71474475,-0.9016598,-1.8585408,1.1914971,0.09302634,-0.17621659,0.10434689,0.99139,0.547278,-0.08436545,-0.008993339,-1.5246446,1.6533066,0.90500104,0.6217939,-0.6721578,-0.60776603,0.4100606,0.31599876,0.3433828,0.5186527,-0.08660969,0.6745621
CHEMBL1765781,-0.9874063,0.7200995,-3.663056,1.9357703,0.8689326,7.3761497,0.6933221,-1.7800453,0.62301373,2.3283489,-4.45139,0.92876613,0.6599617,0.40057114,-0.037564658,5.342987,-0.13963264,-0.44566694,0.6661096,3.6950939,-6.8421493,-0.5329711,-4.6497326,1.6472726,-0.09089438,-5.951181,0.7976688,-0.2055038,-2.552438,4.086607,7.1336274,-0.6521478,1.6733092,-3.4817138,0.111479774,-2.199721,-2.448888,-6.586188,-1.88168,-0.109650776,1.4598026,-6.148402,1.1272689,-0.480745,-1.322679,-1.8310179,2.2237294,2.009363,-1.8818299,-4.797085,1.850691,-2.6226883,-4.323836,-5.611308,-0.15518919,-1.73814,1.0393732,1.8092436,1.763684,1.0321921,-9.399182,4.5754266,-1.1601472,1.616446,-4.6992126,2.7052636,-0.3436936,-1.3457888,-0.75329155,4.3526335,0.5017931,5.2241464,1.3303154,5.6248636,0.97655505,-0.59844893,2.1935136,0.90502274,3.0117915,-5.5365596,2.1191063,3.554548,-1.6791269,-6.138432,-0.3312335,3.6174092,-4.5101514,5.2307944,-3.1257381,0.16868699,3.0393686,2.2406757,2.1582425,-1.2450105,-1.1510463,0.4495424,5.4139385,6.705174,3.405222,3.3396878,9.355578,2.0743968,-4.1680074,-1.8086149,-0.012225598,3.1689568,-0.68940055,6.046145,-2.0531936,0.6541598,1.0047053,1.8472364,-4.6203704,-0.034387007,4.4196115,-1.2860966,0.044312418,-4.9200997,-4.960792,-1.4836518,1.7429757,-0.16374102,-0.4703171,-2.3304503,4.2200627,5.220087,1.8441051,-0.6192108
CHEMBL1788116,-0.7489097,1.9571335,7.6248713,-2.8863904,4.6847076,-5.535465,3.889389,2.7075353,-2.1696734,3.7944245,8.906479,-3.7730772,-8.751369,-6.371174,2.5038538,-4.0826583,6.9653454,4.037052,-2.609653,4.1058636,0.18895301,6.50975,-0.475426,-0.36878783,-8.830737,-2.2700894,-4.0762377,1.6035758,-2.6613004,6.582226,-11.660694,4.641923,-5.190413,2.6758163,-2.5912173,-1.5029405,9.882905,3.342478,8.299755,-2.4627664,3.4781969,7.6296277,-2.725783,3.1694145,-3.046196,3.8694274,-2.1872797,-5.687522,-5.5473237,-1.5759282,7.969342,2.5060358,6.523717,2.9310522,3.0746686,1.5131123,5.968348,4.33554,-2.261775,-2.6765447,3.3209355,-9.031729,3.973937,-3.7145503,4.945526,-5.57405,-7.16561,4.4450045,-5.466785,-7.0098314,4.9991055,-6.7814465,-12.012818,-1.8910816,-8.60198,-7.223905,-7.594042,-9.099519,-6.2394276,7.1959915,8.103171,-1.9526839,3.6333253,8.309042,4.2815704,3.1930654,15.986819,-3.5711923,5.4754696,9.176224,-7.0047493,-5.1712084,-6.3334336,-0.9282103,8.619274,-5.325479,-7.6135745,-7.550045,1.4891112,-11.161669,-5.0751886,0.77552176,0.040488526,1.7236215,5.500626,-1.8152522,2.5193062,-7.2539515,1.2741386,-9.070215,5.9911084,0.8462819,1.9559642,-0.4941983,-0.23172049,-1.7832216,5.7913537,5.3305416,1.421688,3.6139126,-0.21914944,-6.1656528,6.417588,6.8934474,-4.16403,-7.1882873,1.8624068,1.3848577
CHEMBL1929238,0.17858377,-4.8927174,-4.1252775,5.1047797,0.78642166,1.9934696,-0.76823854,-2.2337484,1.6130956,-1.6991681,-2.5948958,0.5283946,5.3042026,-1.4159478,4.8089085,-2.1634755,-3.2572293,0.9515293,1.2939012,0.8229631,-1.614539,2.4582036,-2.6681578,-3.9757137,0.987979,-3.0003173,0.5613563,-0.11117401,-2.6562912,-0.68377995,8.974898,-4.7056847,1.9974385,3.6843338,1.0573397,-1.5095705,-3.7761166,-1.9917852,0.6453856,5.679091,0.65719116,-0.50843376,3.9706964,1.8498576,1.1238871,0.79097986,3.613257,2.8746774,5.0283947,0.4251609,-0.9185195,1.2108333,2.5664265,3.0301433,-5.580425,5.385043,-6.4135866,0.4968216,-1.1025552,5.0277863,4.696597,-3.6894,1.784353,8.052832,0.4499555,0.94252765,-0.93547356,-0.92484665,3.0885417,-0.578902,-2.51785,-7.540055,2.437881,2.6029608,4.344405,-4.5934696,-0.13048196,-0.12002326,4.6443205,5.4621916,1.6526318,-0.5274578,-4.492552,4.042963,-0.17070031,4.4518723,-0.12244102,3.7389286,2.8088243,-3.3133986,3.2880204,0.78217006,1.6705422,3.0604594,0.7937325,1.4676472,3.913814,0.59381175,-5.0362053,1.9075218,-1.7732669,-5.939196,2.5407515,-1.7440413,-8.179107,2.8082128,0.30883065,2.1212454,1.5043411,2.8981066,-0.78579223,1.3376288,1.5513461,2.4965167,-4.479931,-2.7816288,0.3400302,-5.951876,-0.5757143,-4.2875037,-8.19463,3.8686192,-2.4603276,2.9754965,0.59231085,0.035420135,2.5122516,-3.568004
CHEMBL1933552,-1.2982167,0.08676098,-0.014924053,3.250393,1.2816687,3.6092014,1.8159556,-4.1645947,-1.937169,1.848388,-3.276393,0.22780609,1.4133594,0.80107296,-1.0207995,0.96446705,2.0305402,-1.2960546,2.9619062,1.5927964,-1.1444192,0.09228753,-3.9738235,-2.1604652,-1.8426754,-2.7063866,-2.7198691,-1.0989184,-2.3657703,-0.3934335,4.6263094,0.8439138,-0.04457648,-0.85107565,1.7927318,-4.5165143,-7.318133,-6.744445,-4.1209373,1.701295,2.722741,-0.13254791,-0.84482175,1.3145633,-2.391746,-0.15957302,-0.74726176,2.1663854,-1.3594146,0.6003088,4.3155575,0.16332363,-1.8879423,-4.242861,-6.119543,-2.8013346,-4.2624207,1.2835431,1.1411622,4.09663,0.6434002,0.4143107,0.1094805,4.097421,-4.2465897,-5.008451,-2.4066167,1.752123,4.8784475,2.2898421,-4.3068743,1.2026333,0.6829978,-0.18698944,1.9008193,-1.6435643,-0.6667192,-1.8779751,-0.3237467,-0.41926593,-0.053816363,1.0949407,-0.115712546,-0.392475,2.2513752,-1.172129,-2.9901886,2.5612023,-1.6683999,-2.5536478,2.708585,0.013308959,-1.6991758,0.8411361,-2.5540266,-3.1861439,8.609632,2.120593,-3.2018204,2.2685723,7.388795,-0.6032136,-1.2709564,-3.8333397,-3.2860236,1.9516183,0.80407876,6.449982,6.36864,3.070855,1.3735087,-1.1669927,1.3178166,-1.7887588,-3.550747,-0.16122115,2.152862,-1.6271935,-2.3645937,-2.881355,-0.82444906,4.696949,0.09587139,0.9108288,-0.32708308,4.959994,-0.38607758,-1.8977624
CHEMBL202930,0.65114063,1.786897,2.845434,-2.501697,1.253498,-0.74239784,-0.7106454,-3.3496382,-0.712223,-1.4224033,0.79418546,-0.64006937,0.16878033,-1.1356763,2.3214662,-0.9566909,-1.5022417,-2.559153,1.4233569,-0.20952787,-0.92223096,-0.7937363,0.976796,0.27707177,-0.4557946,3.0558488,2.48715,1.7605311,-0.35768396,-1.1021736,0.08909774,-1.0022112,-0.8852619,-0.55810994,0.7864171,-0.8035916,-4.6586876,1.4736547,-4.415665,-0.03904093,-0.7564773,-1.1430917,-1.5934664,1.462084,1.4708475,-0.034399852,2.7030878,0.46427184,0.09537627,3.3682864,-0.13429129,3.2135515,1.4932861,-0.46760634,-4.719448,1.9991567,0.9736095,3.6524556,0.73541397,-0.41742593,-0.9335386,0.90462774,2.618807,-2.2058692,1.9865912,0.4654014,2.2197716,-2.8063,1.8660262,0.1263175,0.4516363,-2.1041977,1.0656222,-0.5821058,0.061392985,2.689691,-0.5340691,-0.030786544,-0.4176203,2.6614552,2.4150882,-1.5904791,-1.2287632,1.2917396,-1.8857121,-2.150315,-0.7505267,-2.7842143,-0.70404905,-4.613719,-2.5784295,-1.71495,2.5149431,-0.13029745,-4.155588,1.0766664,0.037994757,-0.65431845,-1.259963,-3.6112406,-3.3253617,-2.3423123,1.4001253,4.3900933,0.8945036,-1.4607182,2.4071298,-3.9876764,-1.495654,1.0347216,-1.2774915,-1.1828309,0.32362232,-1.876139,-2.6617045,-1.4918324,-0.19609757,-0.7939091,1.8008883,1.5125163,-0.68081915,0.9255531,0.3749111,1.057637,-0.9526746,-1.4644556,-2.0185523,-0.8961648
CHEMBL204420,-4.0678997,-1.5550741,-4.655398,1.6521598,0.21457574,0.52511775,2.0931375,1.5403721,-0.7995207,3.909475,0.6297658,0.80171514,0.8899454,-2.8099272,-2.8700233,-0.66911846,-0.31125823,0.34353542,2.7908213,-3.589252,-5.6006627,-0.8187614,-3.7271607,2.0567381,6.1082172,-5.2437525,4.94535,4.202007,1.12786,1.4320027,6.518284,-2.1652272,-0.010267592,-0.44512075,-1.4806464,1.9332844,0.9287749,-3.5048792,3.8236167,0.6690547,4.684091,-3.8275476,0.11851622,-0.7548964,-0.86266696,0.3641817,1.1499704,0.7818277,-0.40111205,-6.878085,-0.46476674,-2.1774263,-5.325999,-2.0847726,4.3182187,-5.593163,-1.8771416,-6.994495,3.076389,0.1232727,1.3573017,1.3165824,0.33990577,3.2303345,-2.7856283,2.3631852,-3.4163868,1.111057,-2.2119203,0.82091826,0.30480903,0.8475981,0.08830401,3.8623111,0.3487253,-2.4399576,0.3731684,2.3190656,4.455838,-1.7955287,-4.184459,3.4154356,-2.643286,-5.920861,1.2578013,4.517787,-0.18033051,1.6950473,0.70171607,2.4796557,3.2164025,3.0096068,3.330853,0.84146523,-0.7703748,-0.6298853,-0.7358867,-2.151344,0.35202283,6.7607565,3.3049247,5.0112414,-4.504122,-2.3196642,1.1966382,1.3650846,-5.3502183,-1.7956246,0.40148616,2.2267568,2.3295636,0.059694726,0.25278845,2.5870667,4.869823,1.8034482,1.653494,-0.43284333,-4.465005,-3.1863158,0.85053265,0.8703328,-2.026121,2.5410986,-0.07508482,-1.4672236,2.5000646,-0.822222
