protein_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
O00141,0.13132921,-0.15652819,1.443138,0.17987102,-0.48043856,-2.012254,-0.7316316,0.76003104,0.33363676,-0.17802581,1.888931,-0.7299921,0.28851825,-1.1313623,-0.022241052,-1.2690713,-0.80669856,0.9231419,-1.4397645,-0.29245636,1.1620737,1.0159552,1.4458617,0.37493572,-1.0257858,1.502864,-0.7871847,0.6864594,0.5523819,-0.76679593,-3.081807,0.47580495,-1.1883014,0.16224067,-0.18779385,0.9047582,3.142674,1.5452309,3.2004871,-0.5038423,-0.05961908,1.3532811,-0.15303116,-0.42921117,0.56763834,1.1767932,0.08223917,-1.4512635,0.40702438,0.021360975,0.47878426,-0.13022043,0.89981216,1.6067972,2.1185575,0.7840484,0.7974652,-1.1358625,-1.5472145,-0.041393053,1.1734431,-1.2351702,1.0729159,0.8731793,1.3332683,-0.33897018,1.305515,0.5394888,0.7130112,-1.0429603,0.7059422,0.3790488,-1.6529131,-0.7001793,-0.60204583,0.00034353137,0.7728545,0.9141609,0.11406621,2.0712092,-0.2537194,-0.08146067,1.5048549,1.0649464,-0.0016032979,0.7328302,1.6874012,-0.3573092,0.64627814,1.0013236,-0.55119306,-0.50622374,-1.2603917,0.069217086,2.2037401,-0.37803435,-3.3308587,-2.3987858,0.8235369,-0.27020493,-2.3283696,0.39282578,1.5976623,1.2040814,0.34414017,-0.52301985,0.4423058,-1.9739141,0.013189862,-1.1940098,0.10966792,-0.17762543,0.29164752,0.80980563,0.13438639,0.5048413,-0.802175,1.5709584,0.91235197,1.0427687,-0.1360499,-0.11108639,0.36494723,0.17405087,0.38322312,-1.935549,-0.5075357,0.26608098
O14920,-0.21539457,1.0080224,1.0597286,0.5703816,-0.8695266,-1.7747879,0.21734329,0.23526661,-0.0666524,0.84254944,2.2900023,-0.46325144,0.704764,-1.4610468,0.29778618,-1.0937437,-0.17725544,1.0480881,-0.9523796,0.15163162,0.08387312,1.9067384,1.1652664,0.77246714,-0.5354478,1.4855517,-0.8134547,0.61018395,0.7451628,-0.6725959,-3.003147,0.97635424,-1.3598104,-0.64120156,-0.59478384,0.28960085,3.1479807,1.8922417,3.0101242,-0.64112,0.1083636,1.1013026,0.22327997,-0.6344595,0.8889877,1.8564416,-1.2726693,-1.0031661,0.32420993,1.0121479,0.38502812,0.69409,1.5838227,0.9956322,1.1448343,0.9886857,0.39840406,-0.6907399,-0.7207135,-0.056626115,0.87208825,-1.03818,0.4726187,1.0920681,1.4998767,-1.1817671,0.84681904,-0.22489065,0.6300696,-1.1556761,0.10821497,0.793745,-1.2440352,-0.29901615,-0.9234772,-0.072288446,0.3529236,2.0783386,-0.37620208,2.839513,-0.50911665,0.15012655,0.4326261,1.0950326,0.08413624,0.67502904,1.8878036,-0.09363976,1.0658643,1.3696839,-1.3200889,-1.1075157,-1.5425931,-0.042133834,1.1173579,-0.4209292,-2.270292,-1.6326874,0.96805125,-0.25972813,-2.3453553,-0.22102693,1.5152715,1.5074037,-0.037417226,-0.5972759,1.1731852,-1.4442966,-0.49595147,-0.9765124,0.9819131,0.09688524,0.35650125,0.52377075,-0.44137537,-0.17827465,-0.89677227,1.4908192,0.56040895,1.3128533,-0.011667384,-0.3789282,0.2233855,0.016483631,0.04022847,-2.459958,-0.8034983,-0.37603828
O15111,0.68647224,-0.7176246,1.082476,-0.5653811,-0.2735485,-2.0080006,-1.2451266,0.8795138,0.47179973,-0.39017192,1.9393634,-1.054438,0.52320915,-0.7879572,0.9486165,-1.5533078,-0.52197546,0.9948063,-0.8654864,-0.24475749,0.8921589,0.56818146,0.6665799,1.0179375,-0.46800464,1.374289,-0.2699954,-0.04925258,0.7978157,-0.55626714,-2.511458,0.5865078,0.019935217,0.21411459,-0.5189086,0.77784914,3.1589086,2.3684568,2.424916,-0.9635474,-0.15077965,1.1245774,-0.01612199,0.075568944,0.7135325,0.19414675,-0.073547415,-1.3538935,1.3928,0.8624389,0.028635643,0.2713663,1.2135581,1.7347786,1.691216,1.6038365,0.84610087,-0.68465894,-1.411103,0.15966278,0.99334747,-0.68614423,0.71205455,-0.11693792,1.7525141,0.124710456,1.2064852,-0.513353,0.9458212,-0.84636724,1.1352885,0.23905435,-1.2063067,-0.4889541,-0.651545,0.28534883,0.49385262,1.3391613,0.091628075,2.4894838,-0.56230086,-0.62249535,1.0961251,0.69751966,-0.3527843,0.8643412,1.3439384,-0.8908041,0.034934476,0.9555637,-1.2701685,0.03667265,-1.3313825,0.05050736,1.6833984,0.4227913,-3.5298696,-1.9809542,0.6226956,-0.49901408,-2.6593995,0.032296218,1.0881088,0.90454745,0.25545835,-0.21020927,0.28557602,-2.2203393,-0.6525154,-0.7577192,0.38115844,0.28234875,0.27708057,0.98497844,-0.6076868,-0.43484467,-1.961731,0.8939884,0.7224486,2.0701132,-0.3008687,-1.1380781,0.0086283935,-0.41733956,0.5656199,-1.5593619,-0.67373854,1.0585059
P00533,0.49445257,-0.19530419,0.8443577,0.6669284,-0.36323863,-2.1149879,-0.8679165,1.5473349,0.36581054,-0.64186096,1.506256,-1.3638816,0.09939267,-1.5130506,-0.055617824,-1.1155492,-0.17460462,0.41377434,-1.6992729,0.36779705,1.4864435,0.5202194,1.5575336,0.29543293,-0.7148887,1.3635621,-0.8914763,0.25957018,1.0739173,-1.1259253,-3.1294847,0.9796725,-0.89053214,-0.085749306,-0.12513173,1.374522,3.3731632,1.503635,2.5071504,-0.3096799,-0.27973586,1.0209419,0.32397765,-0.36881918,0.5287186,0.7027233,-0.3756274,-1.082134,0.52351755,0.45292136,-3.4851488e-05,-0.096184775,1.3755736,2.0492854,2.08471,0.69346005,1.2184819,-0.958648,-1.5001909,-0.49538144,0.5756718,-1.1771196,1.1540766,0.012213049,1.0650064,0.27698648,1.9522116,0.5958949,0.09073648,-0.5563462,0.9606239,0.16086578,-1.7448448,-0.4394886,-0.21696192,0.0067096474,0.40972087,0.12592934,0.27104294,1.7829,-0.41868216,-0.67759144,1.480369,0.9365296,0.100293115,0.8377675,1.5463473,0.4676392,0.7501895,0.92406744,-0.07942932,-0.6697285,-0.60019827,0.31631294,1.9449044,0.33855444,-3.2728562,-1.9144595,0.8342875,-0.1585288,-2.4065628,0.7241537,1.1313971,1.3085225,1.6374708,-0.9070841,0.830467,-2.1376338,-0.55548644,-1.5161313,-0.10698773,-0.030663662,0.31474853,0.34492984,1.0888438,0.04392425,-0.14976104,1.4924468,0.90511966,1.0121723,0.25334767,-0.54260117,0.42222625,-0.5314423,0.9753567,-1.4349849,0.2824427,0.82192767
P04626,0.44923124,0.49841642,1.0573263,0.31899184,-0.45032606,-1.6327015,0.24788758,0.86436963,0.5521887,-0.070884,1.8991915,-1.3809484,0.49817744,-0.6456551,0.39504576,-0.7039465,-0.62453496,-0.083708085,-1.6923943,0.15707849,0.8877639,1.3762989,0.82604104,0.5140361,-0.844424,1.2734512,-0.53833354,0.6050828,1.0496074,-0.49137253,-2.8728783,0.68433017,-1.0943394,-0.63022447,-0.50940776,0.92405295,3.1290598,2.0019314,2.7561476,-0.75229317,-0.37585193,0.91003096,0.63299227,-0.5744376,0.8179096,1.1676439,-0.648966,-1.0463554,0.9210787,0.7372994,-1.9352883e-06,0.86601186,1.284415,0.6849712,1.6092863,0.9151051,1.7686619,-0.38759136,-0.9924946,-0.7633601,0.32965255,-1.424317,0.17867282,0.20888512,1.8956864,-0.2410132,1.3441448,-0.15549114,-0.037108876,-0.33475113,0.9802637,0.9745155,-1.765995,0.1326027,-0.094421044,-0.38239607,0.6775448,1.3090773,0.40770963,2.547588,0.1327878,-0.7198429,0.5670586,1.120701,-0.11610885,0.8829989,1.6557655,-0.124187455,0.9042754,1.077695,-0.5357964,-0.7928884,-1.0430382,-0.015826877,1.3173301,0.002712925,-3.402537,-2.096625,-0.08186883,-0.10630413,-2.4024346,0.5554379,0.8697749,1.8587629,0.98045236,-0.49026066,0.9918796,-2.3285835,-0.75388175,-0.8650449,0.68308836,0.2321484,0.0944383,0.38815024,0.5050194,0.16248927,-1.0268805,1.788204,0.7657534,0.99182886,0.4828013,-0.26664224,0.47391295,0.12593694,0.7781339,-1.4272687,-0.35221153,0.38592818
P06239,0.08744787,-0.18609063,1.3860192,0.5613385,-0.29742274,-1.9061967,-0.923598,0.9073689,1.3944445,-0.22600424,1.5100088,-0.8117646,1.2248801,-1.9901096,-0.51739794,-1.0434355,-0.58989567,0.6202484,-1.4438375,-0.2579168,0.8475097,0.8595706,1.3722465,-0.029758153,-1.0482113,1.244768,-0.5610093,0.47297558,0.8638297,-0.9881191,-2.767008,0.72563595,-1.4290161,0.05082436,-0.0068510976,1.8460144,2.9222038,1.3524878,3.1821203,-0.5466377,-0.26502264,1.040045,-0.39970568,-0.5907347,1.019807,1.0835477,0.3083916,-1.4465191,0.10318432,0.5405693,0.34293205,0.5283928,0.93590504,1.507075,1.92015,0.5575988,1.027021,-0.33163315,-1.5320404,-0.2239304,0.40733925,-0.8231197,1.4014778,0.9050068,1.4182171,-0.11208252,1.5303429,0.48070562,0.7901254,-0.4405459,0.65980077,0.5198599,-1.6041207,-0.19021554,-0.123784244,-0.44107437,0.9633487,0.8576779,0.5425365,2.0125196,-0.1830902,-0.25693816,1.6372408,1.1653646,0.34210926,1.0902028,1.4972615,-0.25867084,0.42628762,0.5860982,-0.12262623,-0.4571506,-0.5835273,0.22230296,1.7151197,-0.07023652,-3.2536397,-2.8550699,1.0197501,-0.52468044,-2.4322383,0.48256883,1.075544,1.4425411,0.7945113,-0.91861814,0.020829145,-2.1070182,0.113252275,-0.6958226,-0.2030231,-0.008656331,0.16809937,1.210264,-0.17536896,0.056624405,-0.45865488,1.2470129,0.7507096,1.5279391,0.15946853,-0.35855106,0.7599516,-0.24483123,0.9892267,-1.4697914,0.002881141,0.40989596
P07333,0.66107917,-0.023972439,2.2687624,-0.8197796,-0.6360795,-2.4378169,-1.0058422,1.6237651,0.928428,-0.37793005,1.7451018,-0.4122763,0.61140555,-0.7602032,-0.5885523,-1.5575202,-1.0557029,1.2000086,-1.3542048,-0.40908867,1.7749928,-0.20837383,1.889854,0.024303328,-0.49335012,1.0895244,-0.7743511,0.78955084,1.2203498,-0.3484042,-2.8345811,1.0968734,-0.59039336,-0.15189677,0.13741827,0.59434736,2.2442257,1.5895238,2.022029,-0.5218104,-0.21803607,1.8712311,-1.2173536,-0.50176823,0.90474725,0.9377165,0.060577635,-1.2662003,0.55704355,0.6460087,-0.13606353,0.47680676,0.22498189,1.2969406,2.0604663,1.3236982,1.0146233,-0.2521488,-1.1641872,-0.17458923,0.52856296,-0.48407373,0.8597251,0.34448567,1.3678288,-0.20662472,1.4715223,0.015535453,1.2409124,-0.6248534,0.11252713,0.6107525,-1.1498234,-1.1618159,-0.4676676,-0.18931822,1.4069884,1.1328076,0.005508832,1.3675884,-0.26360872,-0.19346307,1.810081,0.96121883,0.69505316,0.7606461,1.4337693,-1.0507271,0.108624086,1.0611234,-0.9853175,-0.49295393,-0.9682847,0.065489344,1.2910746,-0.28650668,-2.8627098,-2.5680542,1.2143571,-0.27247134,-2.9399745,0.9360341,1.3155602,0.9460532,0.5537301,-0.62055975,-0.40408844,-2.4057713,-0.26205644,-0.95194936,-0.19511476,-0.59645903,-0.5601075,0.93871015,-0.3376073,0.49598435,-0.35731676,1.2421718,1.0517997,1.7335458,-0.34617266,-0.88769454,0.7212329,-0.6314193,0.07996577,-0.99437773,-1.3293253,-0.020891609
P15056,0.1777282,-0.16904604,1.0530818,-0.47645035,-0.25600556,-2.118716,-1.0322845,0.77586627,0.5070223,-0.16876607,2.4592373,-1.3215114,0.14054324,-0.9705662,-0.021017246,-0.8025811,-0.4010303,0.7144471,-0.7737289,1.1661981,1.4091278,0.7237431,0.9940721,0.8967026,-0.9222039,1.7090513,-1.2587724,-0.3542789,0.49532366,-0.53215885,-2.6891203,0.37004474,-1.017286,0.1957389,0.43941823,1.1049759,3.30912,2.072577,2.692861,-0.77604645,-0.5717009,1.3917971,0.43369743,-0.33890548,0.98902935,0.6882853,-0.21409373,-1.0639445,0.60796595,0.510097,0.046817195,0.37992084,1.5452394,1.4899606,1.7731578,1.3196213,1.3257798,-0.051525194,-1.1080768,-0.613451,0.42502612,-1.3783853,0.8652434,-0.47595802,2.0105207,0.13163763,1.803893,-0.16616341,0.8415268,-0.41270837,0.73782027,-0.48937434,-1.5041829,-0.39774895,-1.073768,-0.10683923,0.47895768,1.0813518,-0.058674708,2.7674854,-0.42530486,-0.7873619,0.89078784,1.677728,0.0085190665,0.6895238,1.4791508,-0.33191833,0.5008113,1.1354741,-0.7187234,-0.8455788,-1.8398054,-0.03527412,2.1647837,-0.33530247,-3.612669,-1.2172489,0.57754594,-0.49642923,-3.0820265,-0.10465239,0.59176564,1.3725731,0.8570567,0.038797155,0.71534926,-2.280514,-1.3030589,-2.1033301,0.3038594,-0.22058742,0.04534137,-0.2324112,0.16669786,-0.49886405,-0.9449558,1.1436205,0.57963634,1.2360704,-0.46704105,-0.6173695,-0.17262566,-0.44460002,0.11352567,-1.6433557,-0.4503478,0.83035636
P24941,0.8450233,-0.87220204,1.1447877,-0.31322545,-0.36960068,-1.6435719,-1.7783362,0.6901796,0.65069973,-0.05096021,2.0020168,-1.3579125,0.6224943,-0.49228385,0.20902166,-1.7517755,-1.2677089,0.539581,-1.7799319,-1.2323201,1.087328,0.8761302,0.69830513,1.052415,-0.79058707,1.2665417,-0.59242785,0.19081593,-0.14561185,-0.04504726,-2.4464312,0.20587851,0.0034211734,0.5829827,-0.31325278,0.12582475,2.7550132,1.5620921,2.7504957,-0.07792969,-0.6857365,0.45806217,-0.3319365,0.017421613,-0.43421465,-0.22153874,0.45732063,-0.7038556,0.9380401,0.27072307,-0.06796497,-0.28639537,0.4837768,1.3843933,1.2681075,1.3006389,1.1632336,-1.2547824,-1.8349899,1.1276139,1.0838532,-0.77166575,0.44058463,-0.25058672,2.0226233,-0.21433452,0.85239685,-0.28046447,0.73280156,-1.2560725,0.77285933,0.41817293,-1.4383011,-0.8280575,-0.5580584,-0.94554365,0.7549686,1.169404,0.20291504,2.0109994,-0.79262596,-0.5886982,1.0382023,0.75512797,-0.9943955,1.437438,0.9574668,-0.31342903,-0.21666877,1.389696,-0.6318805,0.6361846,-1.0357007,0.30217215,1.7449129,-0.4511717,-3.6267648,-2.5372875,-0.13651784,-0.18807665,-2.400002,-0.49721834,0.94609207,0.8094598,-0.7013225,-0.95034945,-0.13523151,-1.8673596,-0.1917222,-0.3197151,-0.036710937,-0.70597255,0.96921045,1.6291611,-0.8468637,0.5767455,-2.7888114,1.6464306,0.62906903,1.0923176,-0.68262637,-1.5353596,0.20728727,0.42657018,0.26103985,-1.221009,-1.0095743,1.026743
P28482,1.2556802,-0.7764019,0.36160913,0.021146234,0.98926324,-0.8173832,-1.1089337,0.86640316,1.0362039,0.6288779,0.635149,-1.5124516,0.0072924495,-0.89145875,-0.399153,-1.170176,-0.07255788,0.74927914,-1.9743282,0.83174056,1.3199025,-0.37825918,1.4962814,0.8019097,-1.2179838,0.68005013,-1.4344491,-0.30739668,0.9731946,-1.0025296,-2.343513,1.5487651,-0.3802776,0.40061706,-0.4056635,0.749181,2.5939748,1.3292987,2.6035402,0.63325006,-0.30694377,0.93330395,-0.37177873,-1.177285,-0.06374359,0.17289087,0.29013437,-0.852239,-0.25821686,1.1921515,-0.11555505,0.2929039,1.802663,0.8822342,1.161014,1.8768308,1.2745175,-0.93164635,-0.85667765,0.4832949,0.79582846,0.03546032,0.90362537,1.7764502,1.244452,-0.49633235,2.38588,-0.0843189,0.26913247,0.0413761,0.27640185,1.5123739,-0.23029709,-0.2819974,-0.22459136,-0.7573571,0.5603535,2.0063326,-0.63948077,2.2977505,-0.22421391,-0.5645701,0.53851986,-0.44958982,0.29799056,0.9153771,1.63869,0.29597625,0.11754259,1.6219522,0.11965275,-1.3931454,-1.6189587,-1.0972241,1.1603379,-0.6306037,-3.1661997,-3.1490762,0.26856968,-0.40090784,-1.1146045,0.057811074,-0.23345666,0.43228483,1.2774975,-0.7236358,-0.5339693,-1.7844412,0.85848075,-0.3269962,-0.75303257,0.25908518,0.8912116,0.26912263,-0.67537886,-0.58034253,-1.570838,1.3768394,1.1669122,2.3343306,0.23999225,-1.0739187,-0.10698897,0.44081083,1.1101377,0.44840118,-0.31948203,0.9708873
